audiocap_id,youtube_id,caption
11540,3eGXNIadwGk,Person is whistling
11541,3eHYGSux1Ps,"A motorboat cruises along, and a man talks"
11547,3eQYsDrfsTc,Someone has a hiccup while typing
89379,pgl_pG7j7d8,A man talks nearby as water pours out of a faucet
5988,1OIVJfQTGVk,Engine revving loudly
5989,1OIm8vLHCwo,An adult female speaks and a cat meows
5980,1O2vHreD6eI,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
5981,1O5u-mBU2JI,"A man speaking in a foreign language, can hear doves in the background"
5986,1OCyUeuv2-Q,Men speaking then sneezing
5987,1OI6GPNHhLg,A man speaks slowly and with strength
5985,1OCv1wCGK-s,"A child screams, an adult male is talking and vehicles are revving"
31736,DJVEiFFUB6g,A woman talks while frying something
88391,oxs8A0Cdwwc,Crashing waves and a gust of wind
82996,kxZQJiOLSqE,Honking of a horn of a passing train
53631,R8pcOO_A2uE,Someone whistles nearby
97152,vfbOX5T8YDk,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
28561,Bals78LmH5w,Children speak and laugh with a man
273,-62RXhX5GZk,A dog grunts and an adult male speaks
277,-67q0yYR0zk,People in a small crowd are speaking and a dog barks
278,-68677bCJWM,Distressed cat growling and hissing violently while woman laughs and talks
279,-68L7q5JlL4,Wind against a microphone on a speeding car
16706,5seYj-vSnEc,"Two men exchange words, then a car engine revs followed by a siren and fade in music"
16700,5sTt2AMCjSA,A car is racing away very fast and its tires squeal a little
12019,3qPzSfovVmk,Truck engine running then a dragging noise
12018,3qPBmioT8Fo,"A dog is whining and whimpering, and an adult male is speaking"
88025,og_JH9cxUeg,Small frogs croak and chirp
12015,3qNSaQnzWUs,"The wind is blowing, a horse is trotting, and an adult male speaks"
12011,3qA8qMYz3Xw,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks"
12010,3q94RIeQJ9Q,"An adult female speaks, tapping occurs, and a dog barks"
12013,3qKKDuwStA8,A person is speaking and crumpling paper
100014,xpRBnXZnRm0,A man speaking followed by crinkling
64677,YkWrXaJNpn4,A power tool hums and vibrates
100011,xpE3LXuhJS8,Vibrations and humming of a power drill
