audiocap_id,youtube_id,caption
91139,r1nicOVtvkQ,A woman talks nearby as water pours
58146,UDGBjjwyaqE,Multiple clanging and clanking sounds
11542,3eJ9RynJzP8,"The wind is blowing, insects are singing, and rustling occurs"
11543,3eK62q7SnVU,The wind is blowing and rustling occurs
11540,3eGXNIadwGk,Person is whistling
11546,3eNWJ4Hle6Y,The sizzling of food while a dish is clanking
11547,3eQYsDrfsTc,Someone has a hiccup while typing
11544,3eL37ZUN5S4,Aircraft engine hum with man and woman speaking
11545,3eN7ujFJzXQ,Hissing followed by clanking dishes and speech
89378,pgeooj3u3CM,A woman is talking the whole time something is sprayed a few times in the middle
89379,pgl_pG7j7d8,A man talks nearby as water pours out of a faucet
11548,3eSIVCoTR2I,Crackling noise precedes a fly buzzing
11549,3eZrNSkyUmA,A dog whimpers quietly
5988,1OIVJfQTGVk,Engine revving loudly
5989,1OIm8vLHCwo,An adult female speaks and a cat meows
19399,77gagnj481E,Child giving a speech and crowd clapping
19398,77fnehVF7wE,A dog barks twice and then whimpers
5982,1O662rM-u0E,A whoosh sound is heard loudly as a car revs its engines
5983,1O7-QuhweZE,Children screaming in the background as the sound of water flowing by
5980,1O2vHreD6eI,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
5981,1O5u-mBU2JI,"A man speaking in a foreign language, can hear doves in the background"
5986,1OCyUeuv2-Q,Men speaking then sneezing
5987,1OI6GPNHhLg,A man speaks slowly and with strength
49688,OWhT0Gs-_q8,Several explosions burst nearby as people grunt loudly
83899,ld9qe2J9Huk,Someone snores briefly
88395,oy2b5i_4-20,A woman talking and then a cat meowing
31736,DJVEiFFUB6g,A woman talks while frying something
88391,oxs8A0Cdwwc,Crashing waves and a gust of wind
46139,MDoHzN4CYYg,Humming and vibrating of a motor
82996,kxZQJiOLSqE,Honking of a horn of a passing train
46130,MDRJ8icmjgI,A domestic animal is snoring and breathing loudly
53631,R8pcOO_A2uE,Someone whistles nearby
97152,vfbOX5T8YDk,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
28561,Bals78LmH5w,Children speak and laugh with a man
54544,RmJE9uVdgAk,A man yelling and ducks in the background
270,-5weqk40jaI,Strong wind against the microphone simultaneously with heavy rain.
19972,7PFt6ML7enY,A child cries and yells and an adult speaks in response
273,-62RXhX5GZk,A dog grunts and an adult male speaks
274,-64ZmjOBlE8,Water being turned on and off
275,-65gZY_yF3o,Helicopter rotors drumming and squeaking bird
276,-668dhzzDQE,Car engine sound in car race
277,-67q0yYR0zk,People in a small crowd are speaking and a dog barks
278,-68677bCJWM,Distressed cat growling and hissing violently while woman laughs and talks
279,-68L7q5JlL4,Wind against a microphone on a speeding car
16707,5sfQQb6HpSc,A whistle and another man speaks and the whistling stops.
16701,5sWgFNwk5zY,Someone fires a gun with others talking in the background
16700,5sTt2AMCjSA,A car is racing away very fast and its tires squeal a little
16703,5sZnJLp9We4,A loud siren whizzes past
16702,5sXK2pdYAwg,A woman hiccups and then women laugh and speak
88023,ogXzNVUU3Xk,"Coughing by woman and child, then woman and child speaking"
12019,3qPzSfovVmk,Truck engine running then a dragging noise
12018,3qPBmioT8Fo,"A dog is whining and whimpering, and an adult male is speaking"
88025,og_JH9cxUeg,Small frogs croak and chirp
12011,3qA8qMYz3Xw,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks"
12010,3q94RIeQJ9Q,"An adult female speaks, tapping occurs, and a dog barks"
12013,3qKKDuwStA8,A person is speaking and crumpling paper
12012,3qC6_t1bjjw,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
17258,689OVglGxKE,A vehicle revs then explodes while a crowd cheers and an announcer exclaims
17259,68AJ_1alYNg,Man speaks while bees buzz
100014,xpRBnXZnRm0,A man speaking followed by crinkling
64677,YkWrXaJNpn4,A power tool hums and vibrates
100011,xpE3LXuhJS8,Vibrations and humming of a power drill
17251,67r_mSftdjk,A woman giving a speech
17252,67rvn9HIZsM,The chirping of multiple birds accompanies gurgling water and crunching footsteps
17254,67yhKQpwvjo,"People speak followed by spraying, then a phone rings"
17255,67zyxZb-wQM,A round of applause followed by a woman speaking
17256,6813SgG-6Rk,A door creaks open slowly
17257,6850oZZoeb8,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
63024,XbTazhNR5Cc,A kid talks followed by a woman talking while several people laugh
10709,3JNjTAf04rc,People are talking and pig oinks
9258,2i8L8v2NTsY,A man gives a speech
9259,2i8w_CZEprk,"Water flowing, wind blowing, a dog whimpers"
10703,3JAjNVImec4,People cheering and race cars racing by
9257,2i82jVZy1pk,"Some unidentified low sound, followed by a child laughter and a female chuckling"
10701,3J9nGJ5dmsI,Motorcycle driving away at high speeds
10700,3J7NzRVaixM,"The wind is blowing, an engine runs, and tires squeal"
9250,2hxTX4mb0bY,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling"
101352,yuqiS8rSp64,Humming and whooshing of a helicopter hovering close
21619,8Cscq1H9Lng,A vehicle driving and accelerating
21618,8Cpw8deghns,Crinkling noise followed by a man talking
21614,8ClpqdlMMTE,A small dog whimpering and howling
21617,8Cpu6HuZppw,Someone suddenly sneezes out loud
21616,8CpkuIJ1aQg,An adult male is speaking informatively
21611,8CdmbbBcx14,A kid speaking and another kid talks in the background
21610,8C_A2FOG02E,Bell chiming with a vehicle starting up
21613,8Cl-_ONJOes,A man is talking
21612,8Cex_va7-8U,"A horse walks, some wood creaks, and a man talks"
80275,ixaVHv5vqlw,"An adult female snickers quietly while faint snoring is ongoing, and random quiet metal clinking occurs"
19397,77fe_-5zCmM,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs"
42089,JaFx0FqcMRo,Humming of an engine followed by a woman speaking and a burp
45448,LkXhkR4lTS4,A person talking the entire clip
45445,LkXILk5okJg,Some liquid flows while kitchenware hits
45442,LkPH8_fJ7Ls,A male child speaks and plastic crumples and crinkles
45440,LkNOOWFKHD8,Water splashing and gurgling as people talk
62368,XB-lOd-HH1o,A man talks while different birds tweet
48620,Nnt49h9kSuQ,A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container
19393,77ZFT8HuVq0,"A boat motor is running and then accelerates, and water is splashing"
19392,77YX1V-mPcY,Water is flowing making bubbly sounds and splashing around
